job_id,tasks_num_of_single_job,task_generation_time,total_time,complation_time,complation_time_ordered,shortened_completion_timejob_id_order,tasks_num_of_single_job_order,task_generation_time_order,total_time_order
0,89,468,119500,6951,11963,-5012,0,89,468,119500
1,84,2130,87000,12322,12728,-406,1,84,2130,87000
2,84,2800,77000,13274,12817,457,2,84,2800,77000
3,86,3553,73000,13390,12259,1131,3,86,3553,73000
4,88,3699,64000,11896,17319,-5423,4,88,3699,64000
5,85,4404,92500,17461,17463,-2,5,85,4404,92500
6,87,5434,83500,16204,17759,-1555,6,87,5434,83500
7,80,6269,80000,18774,17782,992,7,80,6269,80000
8,90,7503,100000,21543,22819,-1276,8,90,7503,100000
9,89,7539,114500,25438,23282,2156,9,89,7539,114500
10,81,8819,90500,26738,23817,2921,10,81,8819,90500
11,90,10094,75000,27043,28319,-1276,11,90,10094,75000
12,80,11307,80000,28822,29317,-495,12,80,11307,80000
13,80,11507,75000,28461,33819,-5358,13,80,11507,75000
14,82,11671,61000,30938,26440,4498,14,82,11671,61000
15,88,11772,79000,29890,33963,-4073,15,88,11772,79000
16,82,12168,76000,29774,30122,-348,16,82,12168,76000
17,85,13025,72500,33818,34282,-464,17,85,13025,72500
18,87,14120,88500,34322,34373,-51,18,87,14120,88500
19,80,15402,75000,31448,34396,-2948,19,80,15402,75000
20,84,15509,97000,35390,37237,-1847,20,84,15509,97000
21,87,15796,88500,32893,39873,-6980,21,87,15796,88500
22,87,22665,88500,36948,41122,-4174,22,87,22665,88500
23,87,23201,98500,39318,45077,-5759,23,87,23201,98500
24,83,25408,86500,39822,41539,-1717,24,83,25408,86500
25,81,25976,100500,41938,45373,-3435,25,81,25976,100500
26,86,26950,83000,44818,48237,-3419,26,86,26950,83000
27,81,29064,115500,46274,50873,-4599,27,81,29064,115500
28,90,29629,75000,43941,51889,-7948,28,90,29629,75000
29,85,30024,87500,50318,53005,-2687,29,85,30024,87500
30,90,31010,95000,50461,55819,-5358,30,90,31010,95000
31,90,32724,70000,50822,53737,-2915,31,90,32724,70000
32,89,33112,84500,51774,56373,-4599,32,89,33112,84500
33,90,34622,95000,51890,57622,-5732,33,90,34622,95000
34,84,37761,67000,56322,56282,40,34,84,37761,67000
35,81,38691,105500,57274,61873,-4599,35,81,38691,105500
36,86,38969,103000,61822,61319,503,36,86,38969,103000
37,88,38987,114000,61461,62228,-767,37,88,38987,114000
38,82,39132,101000,66961,66963,-2,38,82,39132,101000
