job_id,tasks_num_of_single_job,task_generation_time,total_time,complation_time,complation_time_ordered,shortened_completion_timejob_id_order,tasks_num_of_single_job_order,task_generation_time_order,total_time_order
0,87,1674,92550,7113,7112,1,0,87,1674,92550
1,84,1921,138750,11824,8133,3691,1,84,1921,138750
2,89,5602,77800,12062,12073,-11,2,89,5602,77800
3,89,5708,86350,12693,12904,-211,3,89,5708,86350
4,84,5923,144150,17225,17284,-59,4,84,5923,144150
5,88,6725,139850,22206,21951,255,5,88,6725,139850
6,86,7115,109600,22227,22323,-96,6,86,7115,109600
7,86,10549,85750,25797,22326,3471,7,86,10549,85750
8,80,12764,62500,27227,27284,-57,8,80,12764,62500
9,88,12853,107000,27100,27326,-226,9,88,12853,107000
10,90,15491,109350,30797,27639,3158,10,90,15491,109350
11,80,15845,87250,30726,32284,-1558,11,80,15845,87250
12,82,21582,93200,32100,32702,-602,12,82,21582,93200
13,81,22332,84600,32397,32876,-479,13,81,22332,84600
14,82,22761,104450,35726,37691,-1965,14,82,22761,104450
15,82,23005,75200,37227,37702,-475,15,82,23005,75200
16,80,23557,142150,38390,42702,-4312,16,80,23557,142150
17,84,24165,94200,42227,42925,-698,17,84,24165,94200
18,80,24345,92650,42275,47284,-5009,18,80,24345,92650
19,86,24983,86200,42902,43005,-103,19,86,24983,86200
20,89,25146,93100,47273,46999,274,20,89,25146,93100
21,80,26243,80050,47354,47694,-340,21,80,26243,80050
22,82,26544,102650,52227,48005,4222,22,82,26544,102650
23,82,26886,95900,52354,52284,70,23,82,26886,95900
24,88,27252,95300,56833,52925,3908,24,88,27252,95300
25,88,27486,71450,52306,57284,-4978,25,88,27486,71450
26,88,28640,125450,57262,57695,-433,26,88,28640,125450
27,83,31629,92800,57273,57876,-603,27,83,31629,92800
28,81,32794,81450,57277,62284,-5007,28,81,32794,81450
29,82,34375,85100,58577,62695,-4118,29,82,34375,85100
30,90,37463,93600,60728,67694,-6966,30,90,37463,93600
31,86,40062,76300,62397,63798,-1401,31,86,40062,76300
32,86,43072,93400,66686,72694,-6008,32,86,43072,93400
33,80,43395,89050,67262,72927,-5665,33,80,43395,89050
34,83,45031,82000,67275,77284,-10009,34,83,45031,82000
35,87,45894,135750,72888,66850,6038,35,87,45894,135750
36,83,45907,116200,73298,71999,1299,36,83,45907,116200
37,90,45999,112500,76686,74161,2525,37,90,45999,112500
38,81,47237,75150,77888,76850,1038,38,81,47237,75150
39,84,48513,91050,82397,87698,-5301,39,84,48513,91050
40,83,51554,105400,77262,92698,-15436,40,83,51554,105400
41,85,52551,83450,77273,97284,-20011,41,85,52551,83450
42,90,54275,70650,77340,97698,-20358,42,90,54275,70650
